"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
296,208.3,"Private room","False","True",2,"False",0,0,10,100,1,0.709360142662923,0.424137680727655,628.572173506959,24.2698980110202,1274.50759425525,27.9966497999113,2.17838,41.38819
297,132.89,"Private room","False","True",2,"False",0,0,7,81,1,1.04610925471138,0.221164591737967,787.553047827279,30.408333290345,1648.08249567095,36.2028352601738,2.1812,41.38292
298,175.95,"Private room","False","True",2,"False",1,0,10,85,1,1.3394289935496,0.449397826611178,438.366611042762,16.9258414385195,861.540697530069,18.9251545505424,2.18535,41.39062
299,224.59,"Private room","False","True",2,"False",0,0,6,71,1,0.483898037582328,0.329904949466139,803.674945056336,31.0308183731801,1588.86519463066,34.9020301125281,2.16986,41.38278
300,318.15,"Private room","False","True",3,"False",0,1,8,77,1,0.655752128716846,0.421640510680253,601.840102536978,23.2377418586963,1340.59331731382,29.4483311030154,2.16279,41.38944
301,173.62,"Private room","False","True",2,"False",0,1,10,93,1,0.654298172647758,0.3795318329644,678.979695830218,26.2161906999697,1378.65773553708,30.2844784838844,2.16324,41.39009
302,468.73,"Entire home/apt","False","False",2,"False",0,1,9,90,0,0.87773497759621,0.0990815489160744,793.564475619604,30.6404414643457,1630.09672365979,35.8077482770541,2.17986,41.3844
303,468.73,"Entire home/apt","False","False",2,"False",0,1,9,88,1,0.87600544012076,0.283384645187027,705.140060219598,27.2262726005398,1502.17339157503,32.9977024634726,2.18041,41.38617
304,468.73,"Entire home/apt","False","False",2,"False",0,1,10,89,0,1.15780386794985,0.399682924654235,627.554760078314,24.2306145027947,1520.7295368715,33.4053186313506,2.18351,41.38481
305,468.73,"Entire home/apt","False","False",2,"False",0,1,9,89,0,1.1915303808425,0.372049197974229,641.853079632766,24.7826891442467,1620.81869816208,35.6039412288539,2.18321,41.38309
306,211.79,"Private room","False","True",2,"False",1,0,9,90,1,1.38663513063195,0.367694790669595,355.243078397847,13.7163457837052,886.308456421206,19.4692189995338,2.15453,41.38266
