"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
593,154.52,"Private room","False","True",2,"True",0,0,10,94,1,7.76320284142373,0.962095679767585,147.329759233717,10.2414659557875,318.62713208574,5.70287047654285,-0.21057,51.55506
594,193.33,"Private room","False","True",2,"False",0,0,9,97,1,7.1502109374926,0.669935465405367,173.352094442564,12.0503799288887,364.213479137224,6.51878665741406,-0.03146,51.53153
595,195.91,"Private room","False","True",2,"False",0,0,10,98,1,7.42867402175704,0.761357241313678,149.373520779113,10.3835357887784,323.652962264502,5.79282407954883,-0.14108,51.4421
596,322.44,"Entire home/apt","False","False",4,"False",0,0,9,89,0,4.02961740676876,0.151148706752614,319.551185501848,22.2132487317589,756.714274349225,13.5438669836927,-0.18537,51.51116
597,109.6,"Private room","False","True",2,"True",0,0,10,97,1,10.6085521620079,2.8827143815489,107.888323502253,7.49973798859261,234.357855804177,4.19459726503103,-0.2517,51.45285
598,161.1,"Private room","False","True",2,"False",0,0,9,88,1,4.02037710819439,0.225671916635121,314.66663280565,21.8737044305428,753.823286166243,13.4921233325828,-0.18498,51.51275
599,341.49,"Entire home/apt","False","False",2,"False",0,0,9,89,0,6.76164445428688,0.406177650221111,170.368374439835,11.8429699189322,374.321932371354,6.69971035695926,-0.18395,51.55786
600,119.95,"Private room","False","True",2,"False",1,0,10,94,1,7.16499763221531,2.88805269765094,172.263048621335,11.9746761080149,336.832684989178,6.02871815148038,-0.04132,51.47295
601,193.33,"Private room","False","True",2,"False",1,0,10,100,1,10.6773358446726,2.41784633507788,124.219898416976,8.63500943248469,245.417202031348,4.39254029228027,0.02004,51.4814
602,130.29,"Private room","False","True",2,"False",1,0,8,83,1,5.98464014092982,0.297510953788393,216.924589685819,15.0792739484234,447.40787798193,8.00782143571264,-0.04338,51.52004
603,135.47,"Private room","False","True",2,"False",1,0,9,85,1,6.0317187417073,0.342176641321195,215.067170297675,14.9501574852714,443.20729684336,7.93263835258139,-0.04265,51.51994
604,148.17,"Private room","False","True",2,"False",0,1,8,83,1,5.53316343285963,0.129616159022241,231.820802244388,16.114767758922,493.618028189075,8.83490260613231,-0.0537,51.52709
605,189.33,"Private room","False","True",4,"False",0,1,8,86,1,5.55301907261774,0.283303297017665,231.301127552069,16.0786431450141,490.037295762816,8.77081373490392,-0.05245,51.52557
606,148.17,"Private room","False","True",2,"False",0,1,9,85,1,5.47600778296676,0.268510645157332,235.298985751933,16.3565498548528,499.232290114992,8.93538811210697,-0.05342,51.52521
607,148.17,"Private room","False","True",2,"False",0,1,9,84,1,6.16817940468241,0.348414256621848,208.205184662795,14.473154111111,432.273423229182,7.73694106647656,-0.04137,51.5219
608,360.78,"Entire home/apt","False","False",5,"False",0,1,10,100,1,14.9513255566546,4.04154528240019,80.7172827824471,5.61097301699058,164.546630904376,2.9450979810051,0.08764,51.50317
609,148.17,"Private room","False","True",2,"False",0,1,8,82,1,6.1560276159203,0.360009468904862,209.11531569078,14.5364208671751,433.152512788545,7.75267523783073,-0.04131,51.52129
610,158.52,"Private room","False","True",2,"False",0,1,8,87,1,4.30164868326817,0.355416344894927,246.32166949971,17.1227795760674,482.465886182387,8.63529869612052,-0.12449,51.46971
611,313.27,"Entire home/apt","False","False",4,"False",1,0,8,96,2,8.44871580094641,0.955567627471641,163.69597652137,11.3791455260814,346.186541947924,6.1961358925329,-0.00586,51.50684
612,244.83,"Private room","False","True",2,"True",0,0,10,100,1,3.34716747628093,0.241424124802008,363.991932409164,25.3024983094972,856.006118665306,15.3210179871398,-0.0861,51.52373
613,573.39,"Entire home/apt","False","False",5,"False",0,1,9,86,1,1.20747215058889,0.297678929125513,619.501183822219,43.0639425237948,1721.59160021762,30.8134898785181,-0.13825,51.51686
614,721.56,"Entire home/apt","False","False",6,"False",1,0,8,86,2,3.60936427837205,0.227758961585249,340.218048595235,23.6498829588473,792.036823724263,14.1760790701791,-0.17848,51.51471
615,214.02,"Private room","False","True",2,"False",1,0,10,94,1,7.52860427200374,0.466366031789374,161.259578954475,11.2097820324743,387.196595827594,6.93014439953245,-0.23216,51.49066
616,787.41,"Entire home/apt","False","False",6,"False",0,0,10,98,3,4.11728300407629,0.808742893931474,281.741026907957,19.5849171982228,647.27387457832,11.5850745208255,-0.08265,51.53253
617,309.27,"Private room","False","True",4,"True",1,0,10,97,1,9.92591228161771,1.15398440186719,136.800338257577,9.5095248529026,272.1996249513,4.8718989958554,0.013,51.492
618,434.39,"Entire home/apt","False","False",4,"False",0,0,9,93,1,4.35152837109426,0.138206004202245,251.90268330058,17.5107376039477,571.920446313585,10.2363794535089,-0.10677,51.54523
619,695.69,"Entire home/apt","False","False",5,"True",0,0,10,97,3,4.54090540471681,1.35212873175281,251.88201681855,17.5093009962098,570.466246278763,10.210351806738,-0.08177,51.5375
620,293.75,"Entire home/apt","False","False",2,"False",0,0,10,97,1,5.01101733384373,1.0712969233541,217.588842538968,15.1254487539546,423.921565405588,7.58745736402262,-0.1008,51.46649
621,148.17,"Private room","False","True",2,"False",0,1,8,82,1,5.18515568239229,0.260071801052131,246.513287021052,17.1360996570311,542.11963315132,9.70299682395209,-0.0593,51.52731
